Group,Item,Gram,Match,Distance,Sentence
D,13,Ungram,Mismatch,Long,"The burners that, for the last hour, the chef were meticulously simmering risotto on, are precisely calibrated for heat."
D,14,Gram,Match,Short,The orchard that the gardener is carefully cultivating cherry trees in looks beautiful in the evening light.
E,14,Gram,Mismatch,Short,The orchards that the gardener is carefully cultivating cherry trees in look beautiful in the evening light.
F,14,Ungram,Match,Short,The orchard that the gardener are carefully cultivating cherry trees in looks beautiful in the evening light.
G,14,Ungram,Mismatch,Short,The orchards that the gardener are carefully cultivating cherry trees in look beautiful in the evening light.
H,14,Gram,Match,Long,"The orchard that, despite the tropical heat, the gardener is carefully cultivating cherry trees in, looks beautiful in the evening light."
A,14,Gram,Mismatch,Long,"The orchards that, despite the tropical heat, the gardener is carefully cultivating cherry trees in, look beautiful in the evening light."
B,14,Ungram,Match,Long,"The orchard that, despite the tropical heat, the gardener are carefully cultivating cherry trees in, looks beautiful in the evening light."
C,14,Ungram,Mismatch,Long,"The orchards that, despite the tropical heat, the gardener are carefully cultivating cherry trees in, look beautiful in the evening light."
C,15,Gram,Match,Short,The notebook that the artist was peacefully sketching in is bound in leather.
D,15,Gram,Mismatch,Short,The notebooks that the artist was peacefully sketching in are bound in leather.
E,15,Ungram,Match,Short,The notebook that the artist were peacefully sketching in is bound in leather.
F,15,Ungram,Mismatch,Short,The notebooks that the artist were peacefully sketching in are bound in leather.
G,15,Gram,Match,Long,"The notebook that, on a sunny afternoon, the artist was peacefully sketching in, is bound in leather."
H,15,Gram,Mismatch,Long,"The notebooks that, on a sunny afternoon, the artist was peacefully sketching in, are bound in leather."
A,15,Ungram,Match,Long,"The notebook that, on a sunny afternoon, the artist were peacefully sketching in, is bound in leather."
B,15,Ungram,Mismatch,Long,"The notebooks that, on a sunny afternoon, the artist were peacefully sketching in, are bound in leather."
B,16,Gram,Match,Short,The conference that the genius is finally presenting his work at is always well-attended.
C,16,Gram,Mismatch,Short,The conferences that the genius is finally presenting his work at are always well-attended.
D,16,Ungram,Match,Short,The conference that the genius are finally presenting his work at is always well-attended.
E,16,Ungram,Mismatch,Short,The conferences that the genius are finally presenting his work at are always well-attended.
F,16,Gram,Match,Long,"The conference that, after a long year, the genius is finally presenting his work at, is always well-attended."
G,16,Gram,Mismatch,Long,"The conferences that, after a long year, the genius is finally presenting his work at, are always well-attended."
H,16,Ungram,Match,Long,"The conference that, after a long year, the genius are finally presenting his work at, is always well-attended."
A,16,Ungram,Mismatch,Long,"The conferences that, after a long year, the genius are finally presenting his work at, are always well-attended."
A,17,Gram,Match,Short,The shed that the inventor was constantly vacuuming in is tidily organized.
B,17,Gram,Mismatch,Short,The sheds that the inventor was constantly vacuuming in are tidily organized.
C,17,Ungram,Match,Short,The shed that the inventor were constantly vacuuming in is tidily organized.
D,17,Ungram,Mismatch,Short,The sheds that the inventor were constantly vacuuming in are tidily organized.
E,17,Gram,Match,Long,"The shed that, every week last month, the inventor was constantly vacuuming in, is tidily organized."
F,17,Gram,Mismatch,Long,"The sheds that, every week last month, the inventor was constantly vacuuming in, are tidily organized."
G,17,Ungram,Match,Long,"The shed that, every week last month, the inventor were constantly vacuuming in, is tidily organized."
H,17,Ungram,Mismatch,Long,"The sheds that, every week last month, the inventor were constantly vacuuming in, are tidily organized."
H,18,Gram,Match,Short,The laboratory that the scientist is compulsively vacuuming in is full of unused devices.
A,18,Gram,Mismatch,Short,The laboratories that the scientist is compulsively vacuuming in are full of unused devices.
B,18,Ungram,Match,Short,The laboratory that the scientist are compulsively vacuuming in is full of unused devices.
C,18,Ungram,Mismatch,Short,The laboratories that the scientist are compulsively vacuuming in are full of unused devices.
D,18,Gram,Match,Long,"The laboratory that, almost every day, the scientist is compulsively vacuuming in, is full of unused devices."
E,18,Gram,Mismatch,Long,"The laboratories that, almost every day, the scientist is compulsively vacuuming in, are full of unused devices."
F,18,Ungram,Match,Long,"The laboratory that, almost every day, the scientist are compulsively vacuuming in, is full of unused devices."
G,18,Ungram,Mismatch,Long,"The laboratories that, almost every day, the scientist are compulsively vacuuming in, are full of unused devices."
G,19,Gram,Match,Short,The sketchpad that the student was obsessively doodling in is tattered and worn.
H,19,Gram,Mismatch,Short,The sketchpads that the student was obsessively doodling in are tattered and worn.
A,19,Ungram,Match,Short,The sketchpad that the student were obsessively doodling in is tattered and worn.
B,19,Ungram,Mismatch,Short,The sketchpads that the student were obsessively doodling is are tattered and worn.
C,19,Gram,Match,Long,"The sketchpad that, during every class period, the student was obsessively doodling in, is tattered and worn."
D,19,Gram,Mismatch,Long,"The sketchpads that, during every class period, the student was obsessively doodling in, are tattered and worn."
E,19,Ungram,Match,Long,"The sketchpad that, during every class period, the student were obsessively doodling in, is tattered and worn."
F,19,Ungram,Mismatch,Long,"The sketchpads that, during every class period, the student were obsessively doodling is are tattered and worn."
F,20,Gram,Match,Short,The wall that the toddler was excitedly doodling on could use a new coat of paint.
G,20,Gram,Mismatch,Short,The walls that the toddler was excitedly doodling on could use a new coat of paint.
H,20,Ungram,Match,Short,The wall that the toddler were excitedly doodling on could use a new coat of paint.
A,20,Ungram,Mismatch,Short,The walls that the toddler were excitedly doodling on could use a new coat of paint.
B,20,Gram,Match,Long,"The wall that, early in the morning, the toddler was excitedly doodling on, could use a new coat of paint."
C,20,Gram,Mismatch,Long,"The walls that, early in the morning, the toddler was excitedly doodling on, could use a new coat of paint."
D,20,Ungram,Match,Long,"The wall that, early in the morning, the toddler were excitedly doodling on, could use a new coat of paint."
E,20,Ungram,Mismatch,Long,"The walls that, early in the morning, the toddler were excitedly doodling on, could use a new coat of paint."
E,21,Gram,Match,Short,The garden that the bunny was playfully hopping around in is full of carrots.
F,21,Gram,Mismatch,Short,The gardens that the bunny was playfully hopping around in are full of carrots.
G,21,Ungram,Match,Short,The garden that the bunny were playfully hopping around in is full of carrots.
H,21,Ungram,Mismatch,Short,The gardens that the bunny were playfully hopping around in are full of carrots.
A,21,Gram,Match,Long,"The garden that, in the early evening, the bunny was playfully hopping around in, is full of carrots."
B,21,Gram,Mismatch,Long,"The gardens that, in the early evening, the bunny was playfully hopping around in, are full of carrots."
C,21,Ungram,Match,Long,"The garden that, in the early evening, the bunny were playfully hopping around in, is full of carrots."
D,21,Ungram,Mismatch,Long,"The gardens that, in the early evening, the bunny were playfully hopping around in, are full of carrots."
D,22,Gram,Match,Short,The meadow that the girl is happily traipsing in is teeming with colorful flowers.
E,22,Gram,Mismatch,Short,The meadows that the girl is happily traipsing in are teeming with colorful flowers.
F,22,Ungram,Match,Short,The meadow that the girl are happily traipsing in is teeming with colorful flowers.
G,22,Ungram,Mismatch,Short,The meadows that the girl are happily traipsing in are teeming with colorful flowers.
H,22,Gram,Match,Long,"The meadow that, on this lazy summer afternoon, the girl is happily traipsing in, is teeming with colorful flowers."
A,22,Gram,Mismatch,Long,"The meadows that, on this lazy summer afternoon, the girl is happily traipsing in, are teeming with colorful flowers."
B,22,Ungram,Match,Long,"The meadow that, on this lazy summer afternoon, the girl are happily traipsing in, is teeming with colorful flowers."
C,22,Ungram,Mismatch,Long,"The meadows that, on this lazy summer afternoon, the girl are happily traipsing in, are teeming with colorful flowers."
C,23,Gram,Match,Short,The canyon that the bobcat was confidently prowling around in is marked as off-limits.
D,23,Gram,Mismatch,Short,The canyons that the bobcat was confidently prowling around in are marked as off-limits.
E,23,Ungram,Match,Short,The canyon that the bobcat were confidently prowling around in is marked as off-limits.
F,23,Ungram,Mismatch,Short,The canyons that the bobcat were confidently prowling around in are marked as off-limits.
G,23,Gram,Match,Long,"The canyon that, just one week ago, the bobcat was confidently prowling around in, is marked as off-limits."
H,23,Gram,Mismatch,Long,"The canyons that, just one week ago, the bobcat was confidently prowling around in, are marked as off-limits."
A,23,Ungram,Match,Long,"The canyon that, just one week ago, the bobcat were confidently prowling around in, is marked as off-limits."
B,23,Ungram,Mismatch,Long,"The canyons that, just one week ago, the bobcat were confidently prowling around in, are marked as off-limits."
B,24,Gram,Match,Short,The cave that the camper is cautiously nestling in is unable to keep out the rain.
C,24,Gram,Mismatch,Short,The caves that the camper is cautiously nestling in are unable to keep out the rain.
D,24,Ungram,Match,Short,The cave that the camper are cautiously nestling in is unable to keep out the rain.
E,24,Ungram,Mismatch,Short,The caves that the camper are cautiously nestling in are unable to keep out the rain.
F,24,Gram,Match,Long,"The cave that, despite a foreboding appearance, the camper is cautiously nestling in, is unable to keep out the rain."
G,24,Gram,Mismatch,Long,"The caves that, despite a foreboding appearance, the camper is cautiously nestling in, are unable to keep out the rain."
H,24,Ungram,Match,Long,"The cave that, despite a foreboding appearance, the camper are cautiously nestling in, is unable to keep out the rain."
A,24,Ungram,Mismatch,Long,"The caves that, despite a foreboding appearance, the camper are cautiously nestling in, are unable to keep out the rain."
A,25,Gram,Match,Short,The box that the collector was secretly storing ancient books in is kept in the basement.
B,25,Gram,Mismatch,Short,The boxes that the collector was secretly storing ancient books in are kept in the basement.
C,25,Ungram,Match,Short,The box that the collector were secretly storing ancient books in is kept in the basement.
D,25,Ungram,Mismatch,Short,The boxes that the collector were secretly storing ancient books in are kept in the basement.
E,25,Gram,Match,Long,"The box that, sometime late last month, the collector was secretly storing ancient books in, is kept in the basement."
F,25,Gram,Mismatch,Long,"The boxes that, sometime late last month, the collector was secretly storing ancient books in, are kept in the basement."
G,25,Ungram,Match,Long,"The box that, sometime late last month, the collector were secretly storing ancient books in, is kept in the basement."
H,25,Ungram,Mismatch,Long,"The boxes that, sometime late last month, the collector were secretly storing ancient books in, are kept in the basement."
H,26,Gram,Match,Short,The aisle that the attendant is vigorously mopping in is not currently open to customers.
A,26,Gram,Mismatch,Short,The aisles that the attendant is vigorously mopping in are not currently open to customers.
B,26,Ungram,Match,Short,The aisle that the attendant are vigorously mopping in is not currently open to customers.
C,26,Ungram,Mismatch,Short,The aisles that the attendant are vigorously mopping in are not currently open to customers.
D,26,Gram,Match,Long,"The aisle that, because of the big spill, the attendant is vigorously mopping in, is not currently open to customers."
E,26,Gram,Mismatch,Long,"The aisles that, because of the big spill, the attendant is vigorously mopping in, are not currently open to customers."
F,26,Ungram,Match,Long,"The aisle that, because of the big spill, the attendant are vigorously mopping in, is not currently open to customers."
G,26,Ungram,Mismatch,Long,"The aisles that, because of the big spill, the attendant are vigorously mopping in, are not currently open to customers."
G,27,Gram,Match,Short,The branch that the monkey was exuberantly swinging from is gnarled and twisted.
H,27,Gram,Mismatch,Short,The branches that the monkey was exuberantly swinging from are gnarled and twisted.
A,27,Ungram,Match,Short,The branch that the monkey were exuberantly swinging from is gnarled and twisted.
B,27,Ungram,Mismatch,Short,The branches that the monkey were exuberantly swinging from are gnarled and twisted.
C,27,Gram,Match,Long,"The branch that, just a minute ago, the monkey was exuberantly swinging from, is gnarled and twisted."
D,27,Gram,Mismatch,Long,"The branches that, just a minute ago, the monkey was exuberantly swinging from, are gnarled and twisted."
E,27,Ungram,Match,Long,"The branch that, just a minute ago, the monkey were exuberantly swinging from, is gnarled and twisted."
F,27,Ungram,Mismatch,Long,"The branches that, just a minute ago, the monkey were exuberantly swinging from, are gnarled and twisted."
F,28,Gram,Match,Short,The puddle that the frog was noisily leaping around in is full of dirty brown water.
G,28,Gram,Mismatch,Short,The puddles that the frog was noisily leaping around in are full of dirty brown water.
H,28,Ungram,Match,Short,The puddle that the frog were noisily leaping around in is full of dirty brown water.
A,28,Ungram,Mismatch,Short,The puddles that the frog were noisily leaping around in are full of dirty brown water.
B,28,Gram,Match,Long,"The puddle that, just after the rainstorm, the frog was noisily leaping around in, is full of dirty brown water."
C,28,Gram,Mismatch,Long,"The puddles that, just after the rainstorm, the frog was noisily leaping around in, are full of dirty brown water."
D,28,Ungram,Match,Long,"The puddle that, just after the rainstorm, the frog were noisily leaping around in, is full of dirty brown water."
E,28,Ungram,Mismatch,Long,"The puddles that, just after the rainstorm, the frog were noisily leaping around in, are full of dirty brown water."
E,29,Gram,Match,Short,The tournament that the boxer is reportedly fighting in is sponsored by a large company.
F,29,Gram,Mismatch,Short,The tournaments that the boxer is reportedly fighting in are sponsored by a large company.
G,29,Ungram,Match,Short,The tournament that the boxer are reportedly fighting in is sponsored by a large company.
H,29,Ungram,Mismatch,Short,The tournaments that the boxer are reportedly fighting in are sponsored by a large company.
A,29,Gram,Match,Long,"The tournament that, every week this month, the boxer is reportedly fighting in, is sponsored by a large company."
B,29,Gram,Mismatch,Long,"The tournaments that, every week this month, the boxer is reportedly fighting in, are sponsored by a large company."
C,29,Ungram,Match,Long,"The tournament that, every week this month, the boxer are reportedly fighting in, is sponsored by a large company."
D,29,Ungram,Mismatch,Long,"The tournaments that, every week this month, the boxer are reportedly fighting in, are sponsored by a large company."
D,30,Gram,Match,Short,The auction that the philanthropist is willingly selling his prized art collection at is to raise funds to combat hunger.
E,30,Gram,Mismatch,Short,The auctions that the philanthropist is willingly selling his prized art collection at are to raise funds to combat hunger.
F,30,Ungram,Match,Short,The auction that the philanthropist are willingly selling his prized art collection at is to raise funds to combat hunger.
G,30,Ungram,Mismatch,Short,The auctions that the philanthropist are willingly selling his prized art collection at are to raise funds to combat hunger.
H,30,Gram,Match,Long,"The auction that, according to a reliable source, the philanthropist is willingly selling his prized art collection at, is to raise funds to combat hunger."
A,30,Gram,Mismatch,Long,"The auctions that, according to a reliable source, the philanthropist is willingly selling his prized art collection at, are to raise funds to combat hunger."
B,30,Ungram,Match,Long,"The auction that, according to a reliable source, the philanthropist are willingly selling his prized art collection at, is to raise funds to combat hunger."
C,30,Ungram,Mismatch,Long,"The auctions that, according to a reliable source, the philanthropist are willingly selling his prized art collection at, are to raise funds to combat hunger."
C,31,Gram,Match,Short,The document that the officer is thoroughly describing the incident in are long and tedious.
D,31,Gram,Mismatch,Short,The documents that the officer is thoroughly describing the incident in are long and tedious.
E,31,Ungram,Match,Short,The document that the officer are thoroughly describing the incident in are long and tedious.
F,31,Ungram,Mismatch,Short,The documents that the officer are thoroughly describing the incident in are long and tedious.
G,31,Gram,Match,Long,"The document that, due to a bureaucratic requirement, the officer is thoroughly describing the incident in, are long and tedious."
H,31,Gram,Mismatch,Long,"The documents that, due to a bureaucratic requirement, the officer is thoroughly describing the incident in, are long and tedious."
A,31,Ungram,Match,Long,"The document that, due to a bureaucratic requirement, the officer are thoroughly describing the incident in, are long and tedious."
B,31,Ungram,Mismatch,Long,"The documents that, due to a bureaucratic requirement, the officer are thoroughly describing the incident in, are long and tedious."
B,32,Gram,Match,Short,The drawer that the poet was secretly locking unfinished work away in is in the corner of the study.
C,32,Gram,Mismatch,Short,The drawers that the poet was secretly locking unfinished work away in are in the corner of the study.
D,32,Ungram,Match,Short,The drawer that the poet were secretly locking unfinished work away in is in the corner of the study.
E,32,Ungram,Mismatch,Short,The drawer that the poet were secretly locking unfinished work away in are in the corner of the study.
F,32,Gram,Match,Long,"The drawer that, for a full decade, the poet was secretly locking unfinished work away in, is in the corner of the study."
G,32,Gram,Mismatch,Long,"The drawers that, for a full decade, the poet was secretly locking unfinished work away in, are in the corner of the study."
H,32,Ungram,Match,Long,"The drawer that, for a full decade, the poet were secretly locking unfinished work away in, is in the corner of the study."
A,32,Ungram,Mismatch,Long,"The drawer that, for a full decade, the poet were secretly locking unfinished work away in, are in the corner of the study."
